2025-01-15 14:00:00,185 - INFO - Starting Prometheus metrics server on port 8011
2025-01-15 14:00:00,187 - INFO - Cloud service started
2025-01-15 14:00:02,527 - INFO - Data stored: {'temperature': 20.580234928523353, 'humidity': 51.036280089244514}
2025-01-15 14:00:27,559 - INFO - Data stored: {'temperature': 20.670136216196955, 'humidity': 60.97808332077028}
2025-01-15 14:00:52,593 - INFO - Data stored: {'temperature': 28.92539981467003, 'humidity': 66.5894371551792}
2025-01-15 14:01:17,625 - INFO - Data stored: {'temperature': 29.964411185264996, 'humidity': 64.07125523752356}
2025-01-15 14:01:42,656 - INFO - Data stored: {'temperature': 26.690762502448518, 'humidity': 66.66777491609098}
2025-01-15 14:02:07,689 - INFO - Data stored: {'temperature': 29.902574049255282, 'humidity': 58.76902183461576}
2025-01-15 14:02:32,721 - INFO - Data stored: {'temperature': 23.340235448150956, 'humidity': 52.47576370710128}
2025-01-15 14:02:57,752 - INFO - Data stored: {'temperature': 21.75528200946276, 'humidity': 57.77055454844491}
2025-01-15 14:03:22,783 - INFO - Data stored: {'temperature': 23.246704857711432, 'humidity': 59.16936120905183}
2025-01-15 14:03:47,815 - INFO - Data stored: {'temperature': 27.569141501877162, 'humidity': 62.89209427869616}
2025-01-15 14:04:12,845 - INFO - Data stored: {'temperature': 27.31173954716063, 'humidity': 52.135463593114025}
2025-01-15 14:04:37,873 - INFO - Data stored: {'temperature': 28.343251131279374, 'humidity': 61.143650028351374}
2025-01-15 14:05:02,899 - INFO - Data stored: {'temperature': 24.421717074660435, 'humidity': 68.69637595375417}
2025-01-15 14:05:27,923 - INFO - Data stored: {'temperature': 20.74092601195328, 'humidity': 53.34761027834227}
2025-01-15 14:05:52,950 - INFO - Data stored: {'temperature': 26.42935208634535, 'humidity': 57.22053508484807}
2025-01-15 14:06:17,983 - INFO - Data stored: {'temperature': 28.90323734247137, 'humidity': 69.48221045660567}
2025-01-15 14:06:42,986 - INFO - Data stored: {'temperature': 28.80996193887203, 'humidity': 51.522930325325106}
2025-01-15 14:07:07,994 - INFO - Data stored: {'temperature': 27.289900775240774, 'humidity': 68.27071875549959}
2025-01-15 14:07:33,013 - INFO - Data stored: {'temperature': 20.292021082752374, 'humidity': 67.59615432546144}
2025-01-15 14:07:58,023 - INFO - Data stored: {'temperature': 26.720734294525894, 'humidity': 51.603790508875846}
2025-01-15 14:08:23,053 - INFO - Data stored: {'temperature': 26.502356164075458, 'humidity': 51.627296031035854}
2025-01-15 14:08:48,074 - INFO - Data stored: {'temperature': 25.214356740547885, 'humidity': 54.501912847221725}
2025-01-15 14:09:13,105 - INFO - Data stored: {'temperature': 24.245590044038597, 'humidity': 63.40751578762166}
